,Hotel_Name,Hotel_Address,lat,lng,Reviewer_Average_Score,Total_No_Of_Reviewers,Non_Reviewer_Average_Score
286961,Hotel Alimara,Berruguete 126 Horta Guinard 08035 Barcelona Spain,41.4337561,2.147327,7.84256410256,195,8.59702970297
288224,Petit Palace Boqueria Garden,Boquer a 10 Ciutat Vella 08002 Barcelona Spain,41.3812223,2.1739622,8.60050890585,786,8.29846938776
289010,Mercer House B ria BCN,Boria 24 26 Ciutat Vella 08003 Barcelona Spain,41.3846844,2.1791065,8.5797752809,89,8.66
291776,Catalonia La Pedrera,C rcega 368 Eixample 08037 Barcelona Spain,41.3986093,2.1625037,8.5135483871,155,8.24695652174
291931,Ohla Eixample,C rsega 289 Eixample 08008 Barcelona Spain,41.3944574,2.1564353,9.0968,250,9.10601503759
292257,Hotel Villa Emilia,Calabria 115 117 Eixample 08015 Barcelona Spain,41.3802469,2.1541149,9.15699481865,193,8.98172043011
292450,TWO Hotel Barcelona by Axel 4 Sup Adults Only,Calabria 90 92 Eixample 08015 Barcelona Spain,41.37913,2.1561186,8.63812260536,522,9.25675675676
292972,Hotel Best Western PLUS Alfa Aeropuerto,Calle K s n Entrada principal Mercabarna Sants Montju c 08040 Barcelona Spain,41.3283758,2.1129638,7.89842657343,572,7.58178294574
293544,AC Hotel Irla a Marriott Lifestyle Hotel,Calvet 40 42 Sarri St Gervasi 08021 Barcelona Spain,41.3948175,2.1434702,8.125,16,7.3
293560,Hotel Barcelona Catedral,Capellans 4 Ciutat Vella 08002 Barcelona Spain,41.384829,2.1751277,9.15459770115,870,8.32764857881
294430,Arenas Atiram Hotels,Capitan Arenas 20 Les Corts 08034 Barcelona Spain,41.3904305,2.1262314,7.45333333333,75,7.56481481481
295331,Senator Barcelona Spa Hotel,Cardenal Reig 11 Les Corts 08028 Barcelona Spain,41.3777977,2.1135971,7.62144112478,569,7.85
297159,Room Mate Anna,Carrer de Arag 271 Eixample 08007 Barcelona Spain,41.3929366,2.1653954,9.15324232082,293,8.97419354839
297452,Gran Hotel La Florida,Carretera Vallvidrera Tibidabo 83 93 Horta Guinard 08035 Barcelona Spain,41.4253332,2.1211028,8.62340425532,188,8.892
297640,Ayre Hotel Caspe,Caspe 103 Eixample 08013 Barcelona Spain,41.3961021,2.1794688,8.61193277311,595,8.28653846154
